#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 279658:5253 | 08/27/16 01:35:19 | 712  | 712  | 96612788.000   | 93936571.388  |
| 279667:5254 | 08/27/16 09:08:23 | 966  | 966  | 217926836.598  | 210735957.617 |
| 279681:5256 | 08/27/16 21:57:02 | 28   | 28   | 7385755.670    | 6767730.205   |
| 279682:5256 | 08/27/16 22:11:02 | 33   | 33   | 8706231.231    | 7873117.383   |
| 279683:5256 | 08/27/16 22:32:16 | 26   | 26   | 6770821.951    | 6427767.023   |
| 279684:5256 | 08/27/16 22:46:58 | 22   | 22   | 5599181.705    | 5351695.323   |
| 279685:5256 | 08/27/16 23:07:12 | 208  | 208  | 50477979.041   | 48858533.893  |
| 279691:5257 | 08/28/16 03:41:26 | 43   | 43   | 10386337.144   | 9789294.126   |
| 279694:5257 | 08/28/16 04:03:09 | 2235 | 2235 | 418135305.542  | 406149526.386 |
| 279715:5258 | 08/28/16 22:01:34 | 577  | 577  | 134653980.513  | 129239326.375 |
| 279716:5258 | 08/29/16 02:17:06 | 1638 | 1638 | 263686067.098  | 256883080.315 |
| 279760:5261 | 08/29/16 20:21:24 | 655  | 655  | 159610992.079  | 154456608.898 |
| 279766:5261 | 08/30/16 01:08:36 | 1689 | 1689 | 275266847.426  | 267381179.038 |
| 279767:5261 | 08/30/16 12:08:03 | 776  | 776  | 90927964.348   | 88912499.696  |
| 279794:5264 | 08/30/16 23:41:02 | 1024 | 1024 | 230327219.554  | 223412754.350 |
| 279823:5265 | 08/31/16 10:00:39 | 335  | 335  | 84737499.417   | 82173100.685  |
| 279841:5266 | 08/31/16 15:23:17 | 2040 | 2040 | 390773113.281  | 378512876.514 |
| 279844:5267 | 09/01/16 07:21:16 | 224  | 224  | 59310329.157   | 56663733.979  |
| 279887:5270 | 09/01/16 23:20:52 | 316  | 316  | 76116878.699   | 73000236.083  |
| 279931:5274 | 09/02/16 11:37:39 | 2934 | 2934 | 485423766.843  | 470873971.695 |
| 279966:5275 | 09/03/16 09:20:25 | 363  | 363  | 95947100.235   | 92022445.517  |
| 279975:5276 | 09/03/16 14:45:09 | 1024 | 1024 | 245166729.314  | 236204622.366 |
